"subjectID","wave","task","run","nVols","percent"
"TPOT030",1,"rest",2,0,0
"TPOT032",1,"affect_acq-1",1,0,0
"TPOT032",1,"affect_acq-2",2,0,0
"TPOT032",1,"rest",1,0,0
"TPOT032",1,"rest",2,0,0
"TPOT033",1,"affect_acq-1",1,1,0.5
"TPOT033",1,"affect_acq-2",2,0,0
"TPOT033",1,"rest",1,0,0
"TPOT033",1,"rest",2,0,0
"TPOT034",1,"affect_acq-1",1,0,0
"TPOT034",1,"affect_acq-2",2,0,0
"TPOT034",1,"rest",1,0,0
"TPOT034",1,"rest",2,0,0
"TPOT035",1,"affect_acq-1",1,0,0
"TPOT035",1,"affect_acq-2",2,0,0
"TPOT035",1,"rest",1,0,0
"TPOT035",1,"rest",2,0,0
"TPOT036",1,"affect_acq-1",1,3,1.6
"TPOT036",1,"affect_acq-2",2,0,0
"TPOT036",1,"rest",1,0,0
"TPOT036",1,"rest",2,5,1.3
"TPOT037",1,"affect_acq-1",1,0,0
"TPOT037",1,"affect_acq-2",2,0,0
"TPOT037",1,"rest",1,0,0
"TPOT037",1,"rest",2,0,0
"TPOT038",1,"affect_acq-1",1,0,0
"TPOT038",1,"affect_acq-2",2,0,0
"TPOT038",1,"rest",1,8,2.1
"TPOT038",1,"rest",2,0,0
"TPOT039",1,"affect_acq-1",1,0,0
"TPOT039",1,"affect_acq-2",2,0,0
"TPOT039",1,"rest",1,0,0
"TPOT039",1,"rest",2,0,0
"TPOT040",1,"affect_acq-1",1,30,16.2
"TPOT040",1,"affect_acq-2",2,12,6.5
"TPOT040",1,"rest",1,0,0
"TPOT040",1,"rest",2,1,0.3
"TPOT041",1,"affect_acq-1",1,0,0
"TPOT041",1,"affect_acq-2",2,0,0
"TPOT041",1,"rest",1,0,0
"TPOT041",1,"rest",2,0,0
"TPOT042",1,"affect_acq-1",1,0,0
"TPOT042",1,"affect_acq-2",2,0,0
"TPOT042",1,"rest",1,0,0
"TPOT042",1,"rest",2,0,0
"TPOT043",1,"affect_acq-1",1,12,6.5
"TPOT043",1,"affect_acq-2",2,6,3.2
"TPOT043",1,"rest",1,0,0
"TPOT043",1,"rest",2,4,1.1
"TPOT044",1,"affect_acq-1",1,0,0
"TPOT044",1,"affect_acq-2",2,0,0
"TPOT044",1,"rest",1,0,0
"TPOT044",1,"rest",2,0,0
"TPOT045",1,"affect_acq-1",1,8,4.3
"TPOT045",1,"affect_acq-2",2,7,3.8
"TPOT045",1,"rest",1,79,21.1
"TPOT045",1,"rest",2,0,0
"TPOT046",1,"affect_acq-1",1,1,0.5
"TPOT046",1,"affect_acq-2",2,3,1.6
"TPOT046",1,"rest",1,0,0
"TPOT046",1,"rest",2,0,0
"TPOT048",1,"affect_acq-1",1,18,9.7
"TPOT048",1,"affect_acq-2",2,17,9.2
"TPOT049",1,"affect_acq-1",1,8,4.3
"TPOT049",1,"affect_acq-2",2,4,2.2
"TPOT049",1,"rest",1,6,1.6
"TPOT049",1,"rest",2,5,1.3
"TPOT051",1,"affect_acq-1",1,6,3.2
"TPOT051",1,"affect_acq-2",2,7,3.8
"TPOT051",1,"rest",1,0,0
"TPOT051",1,"rest",2,0,0
"TPOT052",1,"affect_acq-1",1,1,0.5
"TPOT052",1,"affect_acq-2",2,0,0
"TPOT052",1,"rest",1,0,0
"TPOT052",1,"rest",2,0,0
"TPOT053",1,"affect_acq-1",1,5,2.7
"TPOT053",1,"affect_acq-2",2,3,1.6
"TPOT054",1,"affect_acq-1",1,0,0
"TPOT054",1,"affect_acq-2",2,0,0
"TPOT054",1,"rest",1,0,0
"TPOT054",1,"rest",2,0,0
"TPOT055",1,"affect_acq-1",1,7,3.8
"TPOT055",1,"affect_acq-2",2,1,0.5
"TPOT055",1,"rest",1,0,0
"TPOT055",1,"rest",2,3,0.8
"TPOT056",1,"affect_acq-1",1,0,0
"TPOT056",1,"affect_acq-2",2,0,0
"TPOT056",1,"rest",1,0,0
"TPOT056",1,"rest",2,0,0
"TPOT057",1,"affect_acq-1",1,6,3.2
"TPOT057",1,"affect_acq-2",2,4,2.2
"TPOT057",1,"rest",1,0,0
"TPOT057",1,"rest",2,0,0
"TPOT058",1,"affect_acq-1",2,1,0.5
"TPOT058",1,"affect_acq-2",1,15,8.1
"TPOT058",1,"rest",1,0,0
"TPOT058",1,"rest",2,3,0.8
"TPOT059",1,"affect_acq-1",1,0,0
"TPOT059",1,"affect_acq-2",2,0,0
"TPOT059",1,"rest",1,0,0
"TPOT059",1,"rest",2,0,0
"TPOT060",1,"affect_acq-1",1,0,0
"TPOT060",1,"affect_acq-2",2,0,0
"TPOT060",1,"rest",1,0,0
"TPOT060",1,"rest",2,0,0
"TPOT062",1,"affect_acq-1",1,0,0
"TPOT062",1,"affect_acq-2",2,0,0
"TPOT062",1,"rest",1,0,0
"TPOT062",1,"rest",2,0,0
"TPOT064",1,"affect_acq-1",1,0,0
"TPOT064",1,"affect_acq-2",2,0,0
"TPOT064",1,"rest",1,0,0
"TPOT064",1,"rest",2,0,0
"TPOT067",1,"affect_acq-1",1,0,0
"TPOT067",1,"affect_acq-2",2,1,0.5
"TPOT067",1,"rest",1,0,0
"TPOT067",1,"rest",2,0,0
"TPOT068",1,"affect_acq-1",1,0,0
"TPOT068",1,"affect_acq-2",2,0,0
"TPOT068",1,"rest",1,6,1.6
"TPOT068",1,"rest",2,0,0
"TPOT070",1,"affect_acq-1",1,0,0
"TPOT070",1,"affect_acq-2",2,0,0
"TPOT070",1,"rest",1,0,0
"TPOT070",1,"rest",2,0,0
"TPOT071",1,"affect_acq-1",1,3,1.6
"TPOT071",1,"affect_acq-2",2,12,6.5
"TPOT071",1,"rest",1,0,0
"TPOT071",1,"rest",2,0,0
"TPOT072",1,"affect_acq-1",1,0,0
"TPOT072",1,"affect_acq-2",2,0,0
"TPOT072",1,"rest",1,0,0
"TPOT072",1,"rest",2,0,0
